                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                0.64341,                 1.0087,                0.85501,                0.93836,                0.82835,                0.80915,                0.85074,                0.70618,                0.82343,                0.80476,                0.84454,                 0.6754,                0.59249,                 1.0027,                0.85398,                 0.9181,               0.005842,               0.005842,               0.005842
                     45,                0.62249,                0.98809,                0.82659,                0.93668,                0.80845,                0.77529,                0.83027,                0.69115,                0.80845,                0.77529,                0.82695,                0.66766,                0.58951,                 1.0105,                0.87218,                0.91407,               0.005743,               0.005743,               0.005743
                     46,                 0.6361,                 1.0237,                0.83566,                 0.9405,                0.79473,                0.79789,                0.84012,                0.70751,                0.79001,                 0.7935,                0.83531,                0.67592,                0.57638,                0.98946,                0.87373,                0.90572,               0.005644,               0.005644,               0.005644
                     47,                0.63379,                0.98807,                0.81875,                0.93521,                0.83536,                 0.7882,                0.85921,                0.72277,                0.83536,                 0.7882,                0.85865,                0.69086,                0.58211,                0.98878,                0.83022,                0.91512,               0.005545,               0.005545,               0.005545
                     48,                0.62772,                0.99109,                 0.8138,                0.93257,                0.80293,                0.83546,                0.85263,                0.71201,                0.82219,                0.81758,                  0.848,                0.68345,                0.58536,                 1.0012,                0.84571,                0.91247,               0.005446,               0.005446,               0.005446
                     49,                0.62083,                 1.0017,                0.81406,                0.93565,                0.84318,                0.80705,                 0.8636,                0.72225,                 0.8398,                0.80064,                0.85827,                 0.6922,                0.57276,                0.99188,                0.80627,                0.91606,               0.005347,               0.005347,               0.005347
                     50,                0.61764,                0.99163,                0.78892,                0.93034,                 0.8572,                0.79364,                0.85149,                0.71765,                 0.8604,                 0.7942,                0.85178,                0.68313,                0.57725,                 1.0063,                0.82349,                0.91607,               0.005248,               0.005248,               0.005248
                     51,                0.60998,                0.97984,                0.79543,                0.92691,                0.82644,                0.80081,                0.86198,                0.72595,                0.82644,                0.80081,                0.85713,                0.69195,                0.56791,                 1.0396,                0.81669,                0.91256,               0.005149,               0.005149,               0.005149
                     52,                0.60162,                0.99281,                0.79176,                0.92325,                0.84731,                0.79477,                0.84879,                0.71506,                0.84254,                0.79039,                0.84413,                0.67955,                0.55722,                0.99216,                0.82427,                0.90437,                0.00505,                0.00505,                0.00505
                     53,                0.61476,                0.99274,                0.80002,                0.93206,                0.80907,                0.84184,                0.85692,                0.72335,                0.80478,                0.83746,                0.84807,                 0.6759,                0.56498,                0.99265,                0.81697,                0.90651,               0.004951,               0.004951,               0.004951
                     54,                0.61041,                0.98713,                0.78217,                0.92525,                0.82088,                0.83557,                0.86384,                0.73066,                0.82088,                0.83557,                0.86298,                0.69595,                0.55854,                0.99091,                0.79947,                 0.9012,               0.004852,               0.004852,               0.004852
                     55,                0.59775,                0.97255,                0.75279,                0.92027,                0.79865,                0.81766,                0.85646,                0.72305,                0.79906,                0.81731,                0.85133,                0.69217,                0.55331,                0.99187,                0.80413,                0.90256,               0.004753,               0.004753,               0.004753
                     56,                0.59806,                0.95411,                0.77959,                0.92334,                0.85033,                0.81157,                0.86184,                0.73454,                0.84573,                0.80718,                0.85409,                0.70385,                0.55088,                0.97566,                0.78839,                0.89894,               0.004654,               0.004654,               0.004654
                     57,                0.59083,                0.96378,                0.74689,                0.91605,                0.83524,                0.81483,                 0.8638,                0.72994,                0.83524,                0.81483,                0.85931,                0.69331,                0.55816,                0.98507,                0.79082,                0.90378,               0.004555,               0.004555,               0.004555
                     58,                0.58792,                0.95324,                0.74238,                 0.9125,                0.81788,                0.84489,                0.85844,                0.73495,                0.81788,                0.84489,                0.85808,                 0.6957,                0.55181,                0.98892,                 0.8089,                0.89877,               0.004456,               0.004456,               0.004456
                     59,                0.58348,                0.93078,                0.74008,                 0.9128,                0.83972,                0.79431,                0.85101,                0.72644,                0.83972,                0.79431,                 0.8504,                0.69344,                0.54816,                 1.0038,                0.80809,                0.89954,               0.004357,               0.004357,               0.004357
                     60,                0.57626,                0.94604,                0.72493,                0.91309,                0.83806,                0.78331,                 0.8412,                0.71706,                0.83806,                0.78331,                0.84164,                0.67977,                  0.551,                0.99044,                0.85095,                 0.9015,               0.004258,               0.004258,               0.004258
                     61,                0.58808,                0.95753,                0.74559,                0.91648,                0.83411,                0.79857,                0.84504,                0.71659,                0.83411,                0.79857,                0.83984,                0.68987,                0.54742,                0.96969,                0.81551,                0.90275,               0.004159,               0.004159,               0.004159
                     62,                0.58103,                0.92693,                0.70564,                0.91619,                 0.8416,                0.80564,                0.85293,                0.73191,                 0.8416,                0.80564,                0.85252,                0.69835,                 0.5415,                0.97812,                0.80252,                0.89356,                0.00406,                0.00406,                0.00406
                     63,                0.56862,                0.93878,                0.72124,                0.91063,                0.84339,                0.81725,                0.85502,                0.73291,                 0.8484,                0.82145,                 0.8588,                0.69643,                0.53686,                0.96345,                0.78938,                0.89164,               0.003961,               0.003961,               0.003961
                     64,                0.57405,                0.93147,                0.72899,                0.91382,                 0.8767,                0.77674,                0.86004,                0.73014,                0.87218,                0.77236,                0.85498,                0.69706,                0.54018,                0.96512,                0.78299,                0.89429,               0.003862,               0.003862,               0.003862
                     65,                0.57355,                0.93409,                0.70925,                 0.9135,                0.84914,                0.81585,                0.84927,                0.72946,                0.84462,                0.81146,                0.84347,                0.69116,                0.52779,                0.96257,                0.79623,                0.88994,               0.003763,               0.003763,               0.003763
                     66,                0.55927,                0.91924,                0.68404,                0.90932,                0.83621,                0.81795,                0.86183,                0.73256,                0.83145,                0.81356,                0.85454,                0.69126,                0.52935,                0.97704,                0.77501,                0.89558,               0.003664,               0.003664,               0.003664
                     67,                0.57174,                0.93427,                0.68201,                0.90877,                0.82553,                0.84511,                0.86542,                0.74248,                0.82064,                0.84088,                0.86093,                0.70612,                0.52924,                0.96893,                0.77918,                  0.888,               0.003565,               0.003565,               0.003565
                     68,                0.56271,                0.90691,                0.68731,                0.90531,                 0.8502,                0.79729,                0.85459,                0.72714,                0.84515,                0.79296,                0.84814,                0.69323,                0.52926,                0.98533,                0.80789,                0.89469,               0.003466,               0.003466,               0.003466
                     69,                0.54464,                0.90504,                0.66779,                 0.9006,                0.85278,                0.81497,                0.87062,                  0.741,                0.85037,                0.80838,                0.86926,                0.70492,                0.53135,                0.96732,                0.77212,                0.89478,               0.003367,               0.003367,               0.003367
                     70,                0.55829,                0.90887,                0.68207,                 0.9062,                0.87038,                0.80431,                0.85883,                0.73686,                0.87038,                0.80431,                0.85878,                0.70428,                0.52688,                0.97228,                0.78404,                0.89239,               0.003268,               0.003268,               0.003268
                     71,                0.54902,                0.90133,                 0.6511,                 0.9013,                0.83231,                0.83039,                0.86026,                0.73543,                 0.8277,                0.82675,                0.85388,                0.69955,                0.52122,                0.96945,                0.79067,                0.88744,               0.003169,               0.003169,               0.003169
                     72,                0.55693,                0.89776,                0.65839,                0.90804,                0.83768,                0.82301,                0.86005,                0.73868,                0.83321,                0.81862,                0.85577,                0.70549,                0.52859,                 0.9453,                0.77973,                0.89055,                0.00307,                0.00307,                0.00307
                     73,                0.55539,                0.91587,                0.66986,                0.90768,                 0.8526,                0.82394,                0.86077,                0.73834,                0.84801,                0.81955,                0.85629,                0.69886,                0.52441,                0.95957,                0.78286,                0.88998,               0.002971,               0.002971,               0.002971
                     74,                0.53955,                0.87446,                0.63054,                0.90054,                0.84488,                0.82128,                0.86428,                0.74244,                0.84059,                 0.8169,                0.85956,                0.70406,                  0.524,                0.96562,                 0.7988,                0.89008,               0.002872,               0.002872,               0.002872
                     75,                0.54309,                0.89775,                 0.6492,                0.90428,                 0.8312,                 0.8281,                0.86205,                0.74465,                0.82699,                0.82372,                0.85657,                0.70907,                0.51686,                 0.9703,                0.78305,                0.88692,               0.002773,               0.002773,               0.002773
                     76,                0.53757,                0.87771,                0.64184,                0.89727,                0.85662,                0.82793,                0.86941,                0.74146,                0.85216,                0.82354,                0.86121,                0.70549,                0.52254,                 0.9634,                0.76735,                0.88811,               0.002674,               0.002674,               0.002674
                     77,                0.53688,                0.88293,                0.63766,                0.90039,                0.85326,                 0.8334,                0.87212,                0.75184,                0.84892,                0.82901,                0.86714,                0.71602,                0.51716,                0.96882,                0.76999,                0.88382,               0.002575,               0.002575,               0.002575
                     78,                0.52855,                0.88488,                0.63385,                0.89308,                 0.8341,                0.84296,                0.86964,                0.74883,                0.82956,                0.83857,                0.86242,                0.70768,                0.51486,                0.96372,                0.77992,                  0.887,               0.002476,               0.002476,               0.002476
                     79,                 0.5285,                0.87618,                0.62768,                0.89813,                0.85107,                0.81311,                0.86794,                0.74825,                0.84662,                0.80872,                 0.8627,                0.70846,                0.51951,                0.95668,                0.76603,                0.88741,               0.002377,               0.002377,               0.002377
                     80,                0.52827,                0.86986,                0.60284,                0.89898,                0.84075,                0.82179,                0.85883,                0.73699,                0.83633,                 0.8174,                0.85276,                0.70197,                0.51959,                0.95329,                0.80997,                0.88932,               0.002278,               0.002278,               0.002278
                     81,                0.53158,                0.86422,                0.58698,                0.89468,                0.86032,                0.81249,                0.86205,                0.74449,                0.85574,                0.80811,                0.85628,                  0.708,                0.51953,                0.96397,                0.80913,                0.88984,               0.002179,               0.002179,               0.002179
