                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.54724,                0.56361,                0.61092,                0.96317,                 0.8379,                0.88609,                 0.8793,                0.76001,                0.84074,                0.88989,                 0.8847,                0.70107,                0.54655,                0.38237,                0.65656,                0.88017,               0.006535,               0.006535,               0.006535
                     38,                0.54398,                0.54365,                0.60719,                0.95393,                0.85517,                    0.9,                0.88766,                0.77674,                0.85483,                0.90853,                0.88731,                0.72147,                0.53455,                 0.3678,                  0.623,                0.88115,               0.006436,               0.006436,               0.006436
                     39,                0.54059,                0.52169,                0.59863,                0.95627,                0.84845,                0.90378,                0.87257,                0.76503,                0.85861,                0.91429,                0.87981,                0.70364,                  0.526,                0.38149,                0.61287,                0.88218,               0.006337,               0.006337,               0.006337
                     40,                0.54462,                0.51997,                0.58116,                0.96072,                0.82173,                0.92571,                0.88273,                0.77587,                 0.8294,                0.93065,                0.88901,                0.72064,                0.52696,                0.38564,                0.62753,                0.88082,               0.006238,               0.006238,               0.006238
                     41,                0.53454,                0.54941,                0.58967,                0.96112,                0.82417,                0.90286,                0.87179,                0.77008,                 0.8333,                0.91286,                0.88025,                0.70767,                0.53057,                0.37601,                0.62007,                0.88631,               0.006139,               0.006139,               0.006139
                     42,                0.52413,                0.53006,                0.57989,                 0.9535,                 0.8613,                0.89286,                0.87786,                0.76937,                0.83093,                0.94143,                0.88484,                0.70708,                0.55131,                0.37574,                0.62454,                0.91437,                0.00604,                0.00604,                0.00604
                     43,                 0.5335,                0.54319,                0.59298,                0.95947,                0.86613,                0.89655,                0.88747,                0.78199,                0.87049,                0.90857,                0.88997,                0.71955,                0.52491,                0.37729,                0.56233,                0.89122,               0.005941,               0.005941,               0.005941
                     44,                0.51879,                0.53422,                0.58155,                0.94907,                0.86225,                0.88286,                0.88159,                0.77409,                0.86866,                0.89429,                0.88921,                0.71185,                0.52171,                0.38495,                0.60355,                 0.8904,               0.005842,               0.005842,               0.005842
                     45,                0.51756,                0.54168,                0.57182,                0.95571,                0.86652,                0.89286,                0.89519,                0.78399,                 0.8726,                0.90143,                0.90377,                0.72787,                0.53853,                0.39273,                0.60178,                 0.8972,               0.005743,               0.005743,               0.005743
                     46,                0.51537,                0.52195,                0.56885,                0.94644,                0.83977,                0.90595,                 0.8914,                0.77666,                0.85036,                0.91738,                0.90077,                0.73554,                 0.5273,                0.37431,                0.58129,                0.88903,               0.005644,               0.005644,               0.005644
